ID,Name,Address,City,Country,Postcode,Latitude,Longitude,Distance (km),Operator,Operator Website,Operator Contact,Number of Chargers,Connectors,Usage Type,Membership Required,Cost,Access Info,Status,Last Update,Review (Latest),Review Author,Review Rating,Review Date,Images,Metadata
91627,Rumfordstraße,Rumfordstraße 7,München,Germany,80469,48.13346,11.576836700000058,0.2636954681638023,ladenetz.de,http://ladenetz.de,,4.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,24/7 open. Die ersten 5 (bei 4 Ladepunkten) Parkplätze auf der rechten Seite Richtung Viktualienmarkt.,Operational,2017-08-09T11:14:00Z,No reviews,N/A,N/A,N/A,,
177784,Maximilianstr. 16a,Maximilianstr. 16a,München,Germany,80539,48.138861,11.581028,0.26371289364202366,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Unknown,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
185611,Bahnhofstraße 21,Bahnhofstraße 21,Annweiler,Germany,76855,48.13726,11.57558,0.33154066236593294,Unknown,Unknown,Unknown,,"CEE 7/4 - Schuko - Type F (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), CEE 7/4 - Schuko - Type F (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
93283,Pfarrstraße,Pfarrstraße 3,München,Germany,80538,48.1389777,11.587805200000048,0.37874847936382283,ladenetz.de,http://ladenetz.de,,2.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,,Operational,2017-09-25T10:30:00Z,No reviews,N/A,N/A,N/A,,
180363,Pfarrstr. 3,Pfarrstr. 3,München,Germany,80538,48.139333,11.587502,0.38719358002190446,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
176608,Baaderstr. 52,Baaderstr. 52,München,Germany,80469,48.129772,11.577498,0.42265877345672204,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Unknown,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
177242,Baaderstr. 52,Baaderstr. 52,München,Germany,80469,48.129772,11.577498,0.42265877345672204,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Unknown,2021-07-09T03:11:00Z,No reviews,N/A,N/A,N/A,,Unknown
177286,Max-Joseph-Platz 4,Max-Joseph-Platz 4,München,Germany,80539,48.14049,11.57764,0.4232356666758592,Unknown,Unknown,Unknown,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Unknown,2021-07-09T03:11:00Z,No reviews,N/A,N/A,N/A,,Unknown
15613,Tesla Store München,Blumenstraße 17,Munich,Germany,80331 ,48.13264,11.57284,0.45533273157279053,Tesla (Tesla-only charging),http://www.teslamotors.com,,1.0,"Tesla (Roadster) (20 kW, 240V, AC (Single-Phase))",Privately Owned - Notice Required,,Free,Dienstag-Freitag: 9:00-13:00 & 14:00-18:00 Samstag: 10:00-17:00 Geschlossen: Sonntag & Montag,Operational,2013-06-28T07:08:00Z,No reviews,N/A,N/A,N/A,,
185607,Lilienstr. 57,Lilienstr. 57,München,Germany,81669,48.128577,11.585687,0.48172928555114747,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
51498,Blumenstraße,Blumenstraße 19,München,Germany,80331,48.13238,11.57237,0.4822239213201031,ladenetz.de,http://ladenetz.de,,8.0,,Public - Membership Required,True,,"Mehrere kostenlose Parkplätze am Schild ""SWM Öko Strom Ladestation"", 24/7 Laden mit Ladekarte von Ladenetz, EWE, WSW, ladeticket, TNM oder Charge&Fuel. ",Operational,2018-11-21T10:07:00Z,No reviews,N/A,N/A,N/A,,
91626,Liebigstraße,Liebigstraße 5,München,Germany,80992,48.14164,11.586469599999987,0.49667752569787904,ladenetz.de,http://ladenetz.de,,4.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,24/7 open,Operational,2017-08-09T11:13:00Z,No reviews,N/A,N/A,N/A,,
182702,Klosterhofstr. 6a,Klosterhofstr. 6a,München,Germany,80331,48.133734,11.571055,0.5134752652427268,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
96313,Klosterhofstraße,Klosterhofstraße 6,München,Germany,80331,48.13365640000001,11.570971399999962,0.5182708581278351,ladenetz.de,http://ladenetz.de,,4.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,,Operational,2017-12-21T06:59:00Z,No reviews,N/A,N/A,N/A,,
178417,Innere Wiener Str. 7c,Innere Wiener Str. 7c,München,Germany,81667,48.133336,11.59304,0.5234960435406519,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Unknown,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
